SA2_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
101021007,21,0,4,0,27,0,0,0,27,0,0,29,44,9,3,0,57,0,0,0,59,0,0,58,15,3,0,0,23,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,83,13,6,0,103,0,0,0,106,4,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,15,6,0,107,0,0,0,106,4,0,108,35,14,5,4,52,0,0,0,52,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,120,25,12,4,161,0,0,0,158,4,0,160,56,5,0,0,65,0,0,0,64,0,0,70,41,10,7,0,58,0,0,0,58,0,0,62,5,5,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,102,22,3,0,134,0,0,0
101021008,72,12,0,0,88,0,0,0,87,5,0,94,103,12,3,3,122,0,0,0,123,0,0,127,65,3,5,3,72,0,0,0,72,0,0,77,0,0,0,0,0,0,0,0,0,0,0,4,238,33,5,7,289,4,0,4,289,8,0,303,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,4,0,0,6,244,35,5,7,291,6,0,6,293,13,0,312,61,4,0,0,66,0,0,0,71,14,0,84,0,0,0,0,0,0,0,0,0,0,0,0,302,41,5,8,359,6,0,6,366,27,3,394,132,11,0,0,148,4,0,4,145,4,0,152,113,18,3,0,131,4,0,4,135,0,0,137,8,0,0,0,9,0,0,0,9,0,0,9,3,0,0,4,4,0,0,0,4,0,0,4,254,28,4,6,291,5,0,5
101021009,101,29,0,0,134,3,0,4,135,9,0,141,123,28,6,0,163,0,3,3,164,3,0,171,58,3,5,0,60,0,0,0,60,0,0,65,4,0,0,0,4,0,0,0,4,0,0,4,292,58,11,7,361,5,3,8,368,13,0,379,8,0,0,0,8,0,0,0,8,0,0,8,11,9,0,0,13,0,0,0,13,0,0,13,13,9,0,0,19,0,0,0,19,0,0,18,302,64,11,7,377,5,3,8,384,13,0,399,91,18,9,4,124,0,0,0,127,6,0,128,0,0,0,0,0,0,0,0,0,0,0,0,398,83,16,9,506,4,3,8,513,16,0,534,114,18,9,0,141,3,0,3,144,6,0,151,110,28,3,0,142,0,0,3,142,4,0,147,8,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,237,46,7,0,298,0,0,5
101021010,62,11,0,0,67,0,0,0,67,4,0,76,68,9,0,0,78,0,0,0,78,0,0,78,22,0,5,0,28,0,0,0,31,0,0,29,6,0,0,0,7,0,0,0,7,0,0,7,158,22,8,0,183,0,0,0,184,9,0,192,10,0,0,0,10,0,0,0,7,0,0,7,3,0,0,0,3,0,0,0,3,0,0,3,10,0,0,0,10,0,0,0,11,0,0,11,168,22,8,0,190,5,0,5,194,9,0,201,50,10,0,0,58,0,0,0,57,11,0,69,0,0,0,0,0,0,0,0,0,0,0,0,215,28,4,3,246,7,0,7,258,12,0,265,65,6,0,0,75,0,0,0,75,4,0,75,51,11,0,3,62,0,0,0,65,0,0,65,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,5,5,0,0,0,5,0,0,5,127,12,0,3,144,0,0,0
101021012,146,13,9,0,163,0,0,0,166,3,0,172,232,21,5,3,264,0,0,0,264,7,0,270,118,14,11,0,146,0,0,0,146,0,0,146,0,0,0,0,5,0,0,0,5,0,0,5,496,49,21,9,571,0,0,0,574,8,0,585,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,8,0,0,0,10,0,0,0,10,0,0,10,507,48,21,9,580,0,0,0,582,8,0,595,93,7,0,0,102,0,0,0,102,0,0,110,3,0,0,0,3,0,0,0,3,0,4,8,605,55,25,7,691,0,0,0,689,15,3,708,288,23,4,0,315,0,0,0,315,14,0,333,256,10,9,0,275,0,0,0,274,0,0,272,23,0,3,0,25,0,0,0,25,0,0,25,0,0,0,7,13,0,0,0,13,0,0,13,568,37,11,6,630,0,0,0
101021610,208,16,6,0,234,0,0,0,234,0,0,232,216,18,4,0,243,0,0,0,243,3,0,248,118,3,19,4,148,0,0,0,148,0,0,148,3,0,0,0,3,0,0,0,3,0,0,6,549,39,28,3,621,0,0,0,621,7,4,632,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,10,10,0,0,0,10,0,0,0,10,0,0,10,561,39,28,3,632,0,0,0,632,7,4,642,90,13,0,0,101,0,0,0,101,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,653,50,28,3,733,0,0,0,733,10,4,747,235,24,5,0,265,0,0,0,265,3,0,272,171,5,7,0,183,0,0,0,183,5,0,189,19,0,5,0,20,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,424,32,17,0,474,0,0,0
101021611,195,11,3,0,211,0,0,0,211,8,0,215,267,24,4,0,291,0,0,0,291,3,0,295,98,8,7,3,126,0,0,0,128,0,0,127,0,0,0,10,9,0,0,0,9,0,0,11,561,47,17,12,642,0,0,0,639,8,4,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,563,47,17,12,640,0,0,0,643,8,4,654,78,11,0,0,93,0,0,0,93,6,0,99,0,0,0,5,5,0,0,0,5,0,0,5,644,61,16,10,736,0,0,0,741,10,4,756,323,28,13,3,359,0,0,0,361,8,0,365,306,25,5,3,342,0,0,0,342,6,0,349,31,4,3,0,33,0,0,0,33,4,0,33,0,0,0,3,8,0,0,0,8,0,0,11,655,54,16,11,738,3,0,3
101031013,11,0,0,0,11,0,0,0,11,0,0,11,47,0,0,0,50,0,0,0,50,0,0,50,8,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,64,0,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,64,0,0,0,64,0,0,64,9,0,0,0,11,0,0,0,11,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,73,4,0,0,78,0,0,0,78,3,0,77,29,0,0,0,29,0,0,0,29,0,0,35,60,0,0,0,65,0,0,0,65,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,92,0,0,0
101031014,35,16,0,0,53,0,0,0,53,4,0,60,86,20,0,0,113,6,0,6,112,4,0,116,26,0,3,0,29,0,0,0,29,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,151,31,3,3,196,6,0,6,197,11,0,199,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,3,157,34,3,3,193,3,0,3,196,11,0,208,59,10,0,3,76,0,0,3,80,6,0,84,0,0,0,0,0,0,0,0,0,0,3,3,214,52,3,7,270,3,0,3,275,17,3,290,52,7,0,0,62,0,0,0,62,5,4,68,62,21,0,0,89,0,0,4,86,0,0,94,7,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,124,32,0,0,155,0,0,4
101031015,23,0,0,0,23,0,0,0,23,0,0,23,44,3,0,0,46,0,0,0,47,0,0,54,10,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,77,11,3,0,88,0,0,0,90,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,74,11,3,0,91,0,0,0,87,0,0,89,18,6,0,0,24,7,0,7,30,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,89,12,4,0,115,4,0,4,115,3,0,116,42,3,0,0,46,0,0,0,46,3,0,53,40,7,3,0,48,0,0,0,48,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,7,0,0,0,7,0,0,7,87,16,3,7,110,0,0,0
101031016,51,4,5,0,57,0,0,0,57,0,0,57,106,30,0,0,139,0,0,0,139,3,0,139,16,0,4,0,16,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,171,38,3,0,217,0,0,0,217,3,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,38,3,0,217,0,0,0,217,3,0,221,32,7,0,0,33,0,0,0,33,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,204,40,3,0,248,0,0,0,248,7,0,256,110,13,0,0,121,0,0,0,123,0,0,128,117,14,0,0,137,0,0,0,137,5,0,141,3,5,0,0,6,0,0,0,6,0,0,6,4,0,0,0,4,0,0,0,4,0,0,4,232,30,0,0,268,0,0,0
101041017,29,5,0,0,31,0,0,0,31,4,0,41,69,10,0,0,77,0,0,0,78,3,0,83,13,0,0,0,15,0,0,0,15,0,0,15,0,0,0,5,4,0,0,0,4,0,0,4,105,16,6,5,130,0,0,0,131,7,0,143,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,8,0,0,8,4,0,0,0,8,0,0,0,8,0,0,8,108,18,6,5,139,3,0,3,136,7,0,147,39,11,7,0,51,0,0,0,54,19,0,75,0,0,0,0,0,0,0,0,0,0,0,0,149,29,8,4,189,0,0,0,193,28,0,223,63,9,3,0,71,0,0,0,71,5,0,71,83,8,0,0,97,5,0,5,101,9,0,108,9,0,0,0,8,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,150,19,3,0,182,5,0,5
101041018,27,8,0,0,36,0,0,0,38,0,0,43,68,14,0,0,82,0,0,0,82,8,0,89,30,0,3,0,29,0,0,0,29,4,0,36,4,0,0,0,4,0,0,0,4,0,0,4,125,23,5,7,157,0,0,0,160,6,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,23,5,7,157,3,0,3,158,6,0,169,48,14,0,4,60,0,0,0,60,6,0,73,0,0,0,0,0,0,0,0,0,0,0,0,170,34,5,3,217,3,0,3,217,18,0,237,53,17,0,0,66,3,0,3,73,6,0,78,75,19,0,0,105,0,0,0,103,9,0,110,6,0,0,0,5,0,0,0,5,7,0,10,3,0,0,3,3,0,0,0,3,0,0,3,138,34,4,0,181,3,0,4
101041019,31,16,0,0,47,0,0,0,47,0,0,46,108,20,3,0,141,0,0,0,140,9,0,152,37,0,6,0,38,0,0,0,38,6,0,38,0,0,4,3,6,0,0,0,6,0,0,9,176,42,10,3,230,0,0,0,231,13,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,42,10,3,232,0,0,0,233,13,0,247,43,13,10,0,65,0,0,0,67,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,219,51,18,7,297,3,0,0,300,12,0,317,81,17,0,0,96,0,0,0,97,3,0,104,108,35,4,3,149,0,0,0,155,3,0,165,11,0,0,0,12,0,0,0,12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,199,49,4,3,267,0,0,4
101041020,49,0,0,0,52,0,0,0,52,0,0,52,102,24,7,0,128,0,0,0,128,7,0,138,22,3,0,0,31,0,0,0,32,4,0,38,0,0,0,0,0,0,0,0,0,0,0,0,172,38,7,0,219,0,0,0,220,10,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,38,7,0,220,0,0,0,220,10,0,226,43,15,3,0,62,0,0,0,64,10,0,79,0,0,0,0,0,0,0,0,0,0,7,10,219,49,13,0,281,0,3,3,284,22,7,314,84,18,3,0,107,0,0,0,107,4,0,116,132,19,11,0,158,0,0,0,163,4,0,167,15,4,0,0,21,0,0,0,21,0,0,21,0,0,0,4,4,0,0,0,4,0,0,4,234,40,15,7,291,0,0,0
101041021,10,0,0,0,10,0,0,0,10,0,0,10,49,10,0,5,60,0,0,0,60,6,0,65,18,0,0,0,21,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,77,11,0,5,88,0,0,0,88,4,0,95,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,79,11,0,5,96,0,0,0,96,4,0,96,17,0,0,0,17,3,0,3,18,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,94,12,0,5,112,3,0,3,112,3,0,124,31,8,0,0,38,0,0,0,39,0,0,44,55,9,0,0,60,0,0,0,60,4,0,67,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,90,19,0,0,110,0,0,0
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,6,6,0,0,17,0,0,0,17,5,0,22,32,4,6,0,34,0,0,0,34,0,0,39,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,3,3,0,0,0,3,0,0,3,46,14,6,3,59,0,0,0,59,3,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,14,6,3,62,0,0,0,62,3,0,70,13,5,0,0,19,0,0,0,24,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,59,14,6,3,81,0,0,0,82,7,0,98,20,0,0,0,20,0,0,0,23,3,0,27,31,3,0,4,38,0,0,0,38,0,0,44,5,0,0,0,6,0,0,0,6,0,0,6,0,0,0,5,5,0,0,0,5,0,0,5,53,8,3,7,71,0,0,0
101041024,10,0,0,0,15,0,0,0,15,4,0,18,36,7,0,0,41,0,0,0,41,0,0,45,4,0,0,0,10,3,0,3,11,0,0,11,5,0,0,0,5,0,0,0,5,0,0,5,56,12,0,0,72,3,0,3,74,5,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,12,0,0,72,3,0,3,74,5,0,74,8,0,0,0,13,0,0,0,13,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,66,17,0,0,84,3,0,3,87,13,0,98,27,6,0,0,30,0,0,0,30,0,0,30,28,8,0,0,33,0,0,0,33,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,5,53,14,4,0,76,0,0,0
101041025,47,11,0,0,52,0,0,0,53,8,0,63,127,20,0,4,151,0,0,0,150,9,0,156,28,7,3,0,34,0,0,0,34,0,0,34,4,0,0,0,5,0,0,0,5,0,0,5,200,32,3,5,245,0,0,3,245,12,0,260,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,5,0,0,0,7,0,0,9,207,39,3,5,244,3,0,6,254,13,0,270,41,10,3,8,57,0,0,0,59,10,0,70,0,0,0,0,0,0,0,0,0,0,0,0,248,45,6,8,306,0,0,6,310,25,0,337,92,20,0,0,114,0,0,0,120,5,0,120,145,18,4,0,168,0,0,0,165,11,0,173,0,0,0,0,8,0,0,0,8,0,0,9,0,0,0,4,3,0,0,0,3,0,0,3,244,39,6,4,296,0,0,0
101041026,28,4,0,5,42,0,0,0,42,6,0,43,71,19,0,6,92,0,0,0,92,3,0,98,24,8,0,0,31,0,0,0,31,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,127,33,0,9,162,0,0,0,162,12,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,33,0,9,162,0,0,0,162,11,0,175,40,16,0,0,55,0,0,0,55,3,0,61,0,0,0,0,0,0,0,0,0,0,0,0,165,45,0,10,221,0,0,0,221,16,0,232,75,12,0,0,89,0,0,0,89,4,0,92,62,20,0,4,85,0,0,5,89,8,0,97,12,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,147,30,4,3,187,0,0,5
101041027,37,7,5,0,42,0,0,0,49,0,0,45,79,26,4,0,111,0,0,0,111,0,0,114,12,6,3,0,25,0,0,0,25,0,0,25,3,0,0,3,6,0,0,0,6,0,0,7,133,42,11,3,184,0,0,0,187,5,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,133,41,11,3,189,0,0,0,187,3,0,194,48,12,0,3,67,0,0,0,67,11,0,80,0,0,0,0,0,0,0,0,0,0,0,0,183,57,11,6,257,0,0,0,254,15,0,272,43,7,0,0,49,3,0,3,51,0,0,56,100,19,0,4,119,0,0,0,119,0,0,120,4,5,0,0,12,0,0,0,12,0,0,14,0,0,0,5,7,0,0,0,7,0,0,10,145,24,4,12,184,3,0,3
101051539,161,23,3,0,184,3,3,8,192,8,0,205,357,23,16,4,399,3,0,3,406,14,0,420,107,13,11,0,128,0,0,0,136,4,0,134,8,0,0,4,13,0,0,0,10,0,0,10,634,61,32,11,731,8,3,15,742,26,0,767,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,4,0,0,4,3,0,0,0,6,4,0,4,5,0,0,5,635,62,32,11,733,12,3,10,754,26,0,774,191,22,3,3,226,10,8,15,242,16,0,256,0,0,0,0,5,0,0,0,5,0,9,11,830,85,35,17,967,16,8,27,998,40,9,1045,285,30,9,0,320,0,0,0,320,20,0,342,315,31,16,3,362,0,0,0,361,24,0,385,27,6,7,0,39,0,0,0,43,3,0,48,7,0,5,12,11,0,0,0,11,0,0,17,634,64,28,12,738,7,0,7
101051540,92,10,4,0,105,0,0,0,105,3,0,112,184,35,4,0,224,0,0,0,224,6,0,230,41,5,3,0,48,0,0,0,48,3,0,44,3,0,0,5,10,0,0,0,10,0,0,10,321,48,7,4,381,0,0,0,381,16,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,324,58,7,4,388,0,0,0,388,16,0,404,85,22,3,9,115,0,0,4,122,21,0,139,0,0,0,0,0,0,0,0,0,0,4,5,409,75,5,10,505,0,0,4,511,31,4,545,147,17,3,0,164,0,0,0,165,3,0,169,208,38,4,4,249,0,0,0,252,18,0,264,3,5,0,0,9,0,0,0,9,0,0,9,3,0,0,4,8,0,0,0,8,0,0,8,364,52,4,3,425,0,0,0
101061541,54,8,0,0,64,0,0,0,64,0,0,59,104,15,3,0,119,0,0,0,117,0,0,117,36,0,0,0,39,0,0,0,44,0,0,44,0,0,0,3,5,0,0,0,5,0,0,5,188,21,5,3,223,0,0,0,225,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,21,5,3,220,0,0,0,228,0,0,226,43,6,5,0,58,0,0,0,58,9,0,65,0,0,0,0,0,0,0,0,0,0,0,0,235,31,13,5,280,0,0,0,283,5,0,294,107,8,0,0,115,0,0,0,115,4,0,121,124,11,0,0,137,0,0,0,137,6,0,143,13,0,4,0,14,0,0,0,16,0,0,16,0,0,0,0,3,0,0,0,3,0,0,3,242,29,5,5,272,0,0,0
