SA2_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
201031014,3,25,10,10,6,0,0,48,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,11,28,21,19,12,0,0,88,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,10,34,21,19,12,0,0,94,14,14,13,4,7,0,0,42,5,0,0,0,0,0,0,3,34,49,29,21,18,0,0,145
201031015,6,6,8,4,3,3,0,36,0,0,5,0,0,0,0,7,0,5,0,0,0,0,0,8,10,15,21,10,10,3,0,78,0,0,0,0,0,0,0,3,5,3,4,5,0,0,0,11,5,3,4,3,6,0,0,14,14,21,21,18,15,3,0,91,19,15,13,11,5,0,0,64,0,0,0,0,0,0,0,4,30,33,34,34,15,3,0,159
201031016,32,45,24,20,23,0,0,148,0,6,4,0,0,0,0,16,0,4,0,0,0,0,0,7,39,78,46,30,39,6,3,237,0,0,7,0,3,0,0,15,3,4,3,4,0,0,0,13,5,3,7,3,6,0,0,27,42,80,50,38,46,9,3,264,60,69,39,38,15,8,0,225,0,3,4,0,0,0,0,11,105,153,94,72,59,15,3,501
201031017,4,16,8,8,4,0,0,50,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,11,29,22,17,10,0,0,97,0,4,3,0,3,0,0,10,0,4,0,0,0,0,0,5,0,9,8,0,3,0,0,17,13,37,26,23,11,0,0,118,29,26,14,14,10,3,0,94,0,0,0,0,0,0,0,0,36,61,43,31,24,7,0,212
202011018,39,83,48,33,39,13,3,256,9,16,9,0,3,0,0,47,0,0,0,0,0,0,0,3,68,135,93,63,79,29,10,474,3,3,3,4,3,0,0,18,6,11,3,3,4,0,0,22,8,12,7,8,0,0,0,33,75,146,97,67,80,32,10,515,121,115,57,42,41,15,5,388,3,6,0,4,0,0,0,18,203,273,154,117,122,42,16,922
202011019,34,79,48,29,41,5,0,239,3,6,10,5,11,0,0,35,3,0,8,0,0,0,0,20,75,144,117,73,96,15,3,518,0,6,0,0,4,0,0,8,5,3,5,3,0,0,0,17,5,16,5,3,4,0,0,25,78,160,116,70,96,15,3,541,100,111,51,46,36,3,4,353,6,9,3,0,0,0,0,19,182,280,171,121,134,19,10,920
202011020,33,42,36,22,31,16,3,182,3,5,0,0,4,0,0,11,0,0,0,0,0,0,0,0,49,81,74,63,71,31,14,379,0,0,0,0,0,0,0,3,0,3,6,0,10,0,0,20,0,8,8,0,10,0,0,20,49,84,79,63,78,33,15,399,52,58,36,25,20,6,3,204,0,0,0,0,0,0,0,4,101,144,115,91,97,40,19,603
202011021,24,33,33,43,43,8,4,185,6,5,0,0,0,0,0,15,0,0,4,0,0,0,0,8,34,62,66,85,87,21,11,365,0,9,3,0,0,0,0,14,0,3,5,8,8,0,0,13,0,4,4,5,4,0,0,28,39,69,77,91,89,21,11,392,40,49,29,28,21,6,0,177,0,0,0,0,0,0,0,0,83,115,106,120,114,24,10,567
202011022,65,111,70,47,57,17,4,366,14,13,6,6,0,3,5,42,0,16,5,3,3,0,0,25,103,193,127,100,121,34,15,696,4,10,0,4,0,0,0,26,0,6,3,6,5,0,0,28,8,20,7,10,5,0,0,52,110,211,137,111,128,38,15,746,119,130,70,46,46,9,6,423,5,0,4,0,0,0,0,9,231,347,207,158,175,43,22,1182
202011023,9,19,14,3,8,0,0,64,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,20,37,19,17,23,4,4,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,20,43,18,20,25,4,4,131,10,13,3,8,0,0,0,34,0,0,0,0,0,0,0,0,29,57,24,22,28,4,4,167
202011024,20,35,27,22,20,8,0,131,3,8,0,0,0,0,0,9,0,0,0,0,0,0,0,3,32,75,64,41,54,16,6,290,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,5,3,0,3,3,0,0,11,35,77,64,44,61,16,6,298,15,20,9,7,3,5,0,60,0,0,0,0,0,0,0,0,42,93,72,51,62,17,10,354
202011025,58,115,78,33,34,5,0,323,17,8,0,0,0,0,0,29,6,4,0,0,0,0,0,15,96,170,141,67,82,23,0,579,7,8,4,6,0,0,0,20,3,11,3,3,6,0,0,27,11,12,9,4,8,0,0,46,108,189,151,73,85,27,0,624,85,67,35,22,31,3,4,247,0,7,0,4,0,0,0,10,192,260,184,93,120,32,7,891
202021026,9,13,21,8,11,7,0,68,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,21,29,37,15,25,9,7,147,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,29,37,15,25,14,7,149,15,18,5,6,0,3,4,48,0,0,0,0,0,0,0,3,36,46,46,26,28,15,3,197
202021027,14,66,49,31,31,3,4,197,7,4,7,3,4,0,0,27,0,0,0,0,0,0,0,0,20,92,84,53,67,12,5,342,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,25,96,84,62,71,12,5,356,42,24,13,17,18,0,0,126,0,0,0,0,5,0,0,4,67,123,100,74,95,18,6,478
202021028,12,29,19,12,22,3,0,96,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,19,43,37,23,43,13,0,177,0,0,0,0,0,0,0,0,4,3,4,0,3,0,0,12,4,3,4,0,3,0,0,12,20,48,36,25,45,13,0,189,27,24,13,14,10,0,0,84,0,0,0,0,0,0,0,0,46,79,43,43,52,13,0,279
202021029,7,11,6,10,4,0,0,33,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,5,7,20,12,13,5,6,0,58,0,0,0,0,6,0,0,7,4,0,0,0,0,0,0,5,4,0,4,4,3,0,0,11,6,20,12,18,12,6,0,66,14,15,18,3,8,0,0,61,0,0,0,0,0,0,0,0,17,34,34,21,19,3,0,130
202021030,5,32,15,9,12,0,0,82,3,3,0,0,5,0,0,20,0,0,0,0,0,0,0,0,13,57,42,30,34,13,6,197,0,0,6,0,3,0,0,8,0,8,0,0,5,0,0,13,0,8,3,0,6,0,0,17,13,65,45,37,41,13,9,215,20,28,18,11,14,4,4,95,0,0,0,0,0,0,0,0,32,90,63,44,50,23,12,308
202021031,11,20,14,11,18,10,5,90,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,18,50,30,22,50,22,8,200,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,18,54,32,22,51,22,8,210,11,21,14,14,11,0,0,78,0,0,0,0,0,0,0,3,29,74,48,38,63,24,11,282
202031032,3,8,10,6,4,0,0,37,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,17,21,16,11,6,3,76,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,3,3,0,0,0,0,0,9,10,14,21,16,7,6,3,89,10,21,11,9,9,3,0,58,0,0,0,0,0,0,0,0,21,34,33,23,17,9,3,141
202031033,4,0,12,7,6,0,0,31,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,16,17,13,26,4,0,86,0,5,5,0,0,0,0,9,0,6,0,0,0,0,0,3,0,4,5,0,0,0,0,12,15,21,24,13,26,4,6,94,33,33,17,11,5,5,0,105,0,0,0,0,0,0,0,0,46,57,44,18,32,3,6,207
203011034,14,31,20,11,15,6,0,100,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,21,52,33,20,36,19,0,188,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,7,21,56,33,20,39,19,0,192,14,9,15,9,3,4,0,57,0,0,0,0,0,0,0,0,33,61,48,32,44,24,0,247
203011035,19,15,19,18,10,0,0,72,4,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,23,32,28,21,29,4,3,142,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,25,30,27,26,32,4,3,151,17,16,6,11,6,0,0,52,0,0,0,0,0,0,0,0,42,50,37,31,34,6,3,207
203011036,11,13,14,7,11,7,0,67,4,0,0,7,0,0,0,15,0,0,0,0,0,0,0,3,20,31,27,19,26,9,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,31,26,19,30,9,0,142,14,15,3,7,11,3,0,53,0,0,0,0,0,0,0,0,35,48,32,25,44,16,0,197
203021037,8,54,35,24,36,12,7,186,9,8,0,0,4,3,0,24,0,0,5,0,6,0,0,10,29,93,69,51,111,27,23,404,3,0,0,0,3,0,0,13,4,11,3,0,0,0,0,13,6,10,4,4,4,0,0,25,32,102,76,54,115,26,23,432,36,43,19,26,29,10,3,168,0,0,0,0,0,0,0,6,67,148,96,84,143,41,25,600
203021039,16,34,31,20,11,3,3,113,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22,64,44,29,44,20,13,241,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,5,22,70,46,27,45,26,13,250,29,28,21,19,7,8,0,104,3,0,0,0,0,0,0,4,51,93,71,46,52,34,13,358
203021040,34,64,61,34,57,17,8,275,4,4,3,3,4,6,0,24,0,3,0,0,0,0,0,6,50,123,119,85,116,40,20,551,0,3,0,0,4,0,0,10,8,4,4,0,0,0,0,12,10,9,5,0,4,0,0,20,58,131,121,88,116,49,20,570,52,46,18,18,17,12,5,169,3,6,0,0,0,0,0,7,109,175,143,104,140,52,26,747
203021042,16,70,42,41,39,11,11,244,0,5,4,6,3,0,0,18,0,0,0,0,0,0,0,0,42,138,94,92,111,44,26,541,0,0,4,0,3,0,0,7,0,4,6,0,0,0,0,7,0,4,3,5,0,0,0,12,42,142,98,93,112,47,26,559,12,16,24,13,16,7,0,86,0,4,0,0,4,0,0,9,54,161,122,102,131,48,26,648
203021043,35,84,53,31,40,11,9,262,7,16,7,3,5,0,0,43,0,4,0,0,0,0,0,5,69,155,112,78,118,35,17,584,3,3,3,0,0,0,0,12,5,6,0,0,0,0,0,13,7,9,5,5,0,0,0,26,77,166,121,78,117,35,16,609,54,52,30,24,25,4,3,196,9,3,0,0,0,0,0,12,142,217,151,104,140,45,17,815
203021044,31,59,37,25,40,8,5,194,11,7,4,4,3,0,0,28,4,6,0,0,0,0,0,9,55,113,68,50,89,27,10,408,0,3,0,4,3,0,0,8,3,9,0,0,0,0,0,12,3,6,0,0,3,0,0,22,60,118,71,55,92,32,11,432,27,38,16,24,15,4,5,136,0,0,0,0,0,0,0,4,88,155,92,74,110,40,16,576
203021045,34,71,53,28,31,8,6,238,11,9,6,9,6,6,0,44,3,3,4,0,0,0,0,15,60,118,90,69,80,26,14,456,0,5,0,4,4,0,0,9,8,7,8,0,6,0,0,32,8,11,8,9,11,0,0,47,71,130,95,73,91,28,12,505,82,105,46,40,37,10,5,323,5,4,0,0,5,0,0,16,161,237,150,108,131,46,18,843
203021046,11,28,18,11,14,9,5,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,62,54,36,61,22,9,264,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,20,62,59,36,61,27,10,272,18,19,6,14,10,11,4,76,0,0,0,0,0,0,0,0,37,83,60,44,67,30,14,343
203021047,23,62,30,33,40,8,6,208,10,6,8,0,7,5,0,39,3,4,5,0,0,0,0,15,51,114,83,67,85,33,14,453,0,0,0,5,3,0,0,6,5,11,4,3,4,0,0,31,11,11,4,8,9,0,0,42,60,123,88,80,101,31,12,498,46,46,30,26,37,13,4,201,5,0,0,0,0,0,0,6,107,173,121,106,130,40,24,704
203021485,22,45,27,18,18,5,6,146,8,6,0,0,0,0,0,21,0,4,0,0,0,0,0,5,48,94,48,38,55,31,14,319,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,5,4,0,0,0,0,0,0,5,55,96,48,34,55,31,14,326,28,29,21,6,9,0,4,103,0,0,0,0,0,0,0,0,81,125,66,40,68,29,14,427
203021486,49,70,53,54,62,20,9,317,11,7,4,0,0,0,0,25,3,4,3,0,0,5,5,24,88,135,104,90,115,35,21,588,4,11,12,5,7,3,0,37,15,28,10,7,7,3,0,66,13,37,22,13,9,4,0,106,105,170,124,99,125,41,21,690,174,171,97,75,80,35,23,649,8,10,4,0,0,0,0,26,287,346,224,174,208,73,40,1364
203021487,47,113,52,47,68,27,10,358,3,10,13,4,8,8,0,38,3,0,0,0,3,0,0,7,78,191,100,94,130,65,23,690,0,3,5,4,0,0,0,12,0,9,5,0,0,0,0,17,4,10,8,6,4,0,0,32,82,200,108,104,137,65,23,719,45,66,42,32,40,15,4,240,0,0,0,0,0,0,0,0,130,266,155,138,173,83,19,961
203021488,33,43,26,26,29,4,0,159,4,5,7,0,0,0,0,19,4,5,0,0,0,0,0,9,63,76,47,37,50,16,0,290,0,5,8,0,4,0,0,23,3,14,11,3,0,0,0,25,5,16,17,6,4,6,0,48,66,91,59,43,56,18,0,342,108,118,72,44,39,23,8,410,5,0,0,0,0,0,0,3,180,214,130,90,101,38,12,756
203031048,26,100,55,43,40,17,6,292,5,3,8,3,9,0,0,31,0,4,0,0,0,0,0,11,42,143,99,84,95,35,22,517,0,3,0,0,0,0,0,4,6,12,3,0,0,0,0,18,3,10,6,0,4,0,0,26,47,152,102,83,106,35,22,538,60,63,42,28,31,7,0,238,0,0,3,5,0,0,0,4,110,214,143,117,134,39,23,781
203031049,0,10,16,3,11,0,4,49,0,0,3,0,0,0,0,7,0,0,0,3,0,0,0,0,9,12,25,19,21,10,8,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,25,19,21,10,8,108,4,4,7,5,0,6,0,24,0,0,0,0,0,0,0,0,10,20,32,21,29,10,10,132
203031051,5,18,12,9,15,5,3,75,3,4,0,0,0,0,0,3,0,0,3,0,0,0,0,4,20,31,24,17,30,8,6,134,0,3,0,0,3,0,0,9,0,0,0,0,0,0,0,3,0,5,0,0,4,0,0,5,21,37,24,17,35,8,6,137,22,35,20,12,11,3,0,103,0,0,0,0,0,0,0,0,45,73,40,31,40,9,4,244
203031052,6,9,5,7,6,0,0,35,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,10,26,15,22,5,9,86,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,3,9,9,10,25,15,22,5,12,96,3,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,10,17,24,12,25,5,13,108
203031053,31,63,48,31,43,17,8,233,3,6,4,0,0,0,0,20,0,0,0,0,0,0,0,5,52,122,120,78,118,34,17,540,0,3,3,4,0,4,0,16,0,5,0,0,0,0,0,6,0,10,3,4,0,4,0,23,48,133,125,80,117,39,22,566,22,32,25,11,18,5,0,113,0,0,0,3,0,0,0,4,78,160,150,97,139,43,24,689
203031489,22,62,30,26,29,6,7,182,4,9,3,0,4,0,0,18,0,6,3,0,0,0,0,0,41,93,69,48,54,20,13,344,0,7,3,0,0,0,0,7,3,6,6,0,0,0,0,12,3,10,9,0,0,0,0,24,48,101,76,46,57,23,13,362,28,33,17,9,7,0,5,97,0,0,0,0,0,0,0,3,71,136,98,56,66,26,20,463
203031490,24,73,53,48,51,20,3,268,0,6,9,7,7,0,0,22,0,0,0,0,0,0,0,3,39,118,112,93,108,35,6,506,0,3,3,3,4,0,0,11,0,3,3,3,0,0,0,12,0,9,11,3,4,0,0,23,39,128,120,92,111,42,6,531,22,41,30,18,16,10,6,128,9,0,0,0,0,0,0,9,68,168,145,114,121,47,13,671
204011054,8,15,8,7,7,0,0,54,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,6,18,34,34,13,22,3,4,133,3,0,0,0,0,0,0,8,0,4,0,0,4,0,0,9,3,0,0,0,3,0,0,13,19,44,35,18,26,9,4,146,13,14,18,10,12,0,0,67,0,0,0,0,0,0,0,0,35,52,49,28,37,9,4,215
204011055,10,17,10,17,18,0,0,75,4,5,0,0,3,0,0,11,0,0,0,0,0,0,0,0,17,31,25,27,46,3,0,151,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,3,17,34,30,34,46,3,0,161,35,22,16,9,3,0,0,81,0,0,0,0,0,0,0,0,50,60,46,41,53,0,0,246
204011056,26,57,57,25,32,7,10,211,7,0,0,6,0,0,0,12,3,4,3,4,5,0,0,14,50,105,92,64,90,25,15,447,0,5,0,0,0,0,0,10,3,5,0,0,3,0,0,18,8,16,4,0,7,0,0,35,55,116,99,66,95,29,15,479,62,67,30,21,22,9,5,212,0,5,0,0,0,0,0,8,117,186,128,86,120,42,16,703
204011057,19,39,22,16,12,0,0,113,0,6,0,3,5,0,0,13,0,0,0,0,0,0,0,5,22,66,45,28,33,4,4,205,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,6,30,68,45,28,33,4,4,210,16,16,6,0,4,0,0,46,0,0,0,0,0,0,0,0,40,89,52,30,43,4,4,260
204011058,9,19,8,4,3,0,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,22,18,11,16,0,3,83,6,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,6,0,0,0,0,0,0,5,24,28,22,11,16,0,3,90,22,11,9,4,6,0,0,47,0,0,0,0,0,0,0,0,44,35,31,13,17,5,3,145
204011059,16,30,25,19,11,10,0,113,6,3,5,0,3,0,0,19,0,0,0,6,4,0,0,7,30,60,57,31,35,18,5,224,0,4,0,0,0,0,0,4,4,3,0,0,0,0,0,13,4,7,0,5,3,0,0,18,33,64,55,33,37,18,5,242,40,41,19,17,19,4,0,140,0,0,0,0,0,0,0,0,71,107,71,48,59,15,3,383
204011060,11,11,3,5,5,6,0,38,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,20,8,3,14,8,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,8,3,14,8,0,64,4,10,11,0,3,0,0,35,0,0,0,0,0,0,0,0,19,33,17,5,15,9,0,102
204011061,0,0,5,0,0,0,0,6,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,10,5,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,5,8,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,9,5,8,0,0,21
204011062,7,8,11,11,16,0,0,53,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,8,17,11,22,5,0,74,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,4,0,0,0,3,10,8,17,11,23,5,0,79,11,8,8,10,10,3,0,53,0,0,0,0,0,0,0,0,22,23,24,20,34,8,0,131
204021063,27,56,34,21,21,5,4,160,5,4,5,5,5,0,0,15,0,3,5,0,3,0,0,14,41,87,57,39,55,15,7,299,0,0,0,0,0,0,0,4,5,3,3,0,0,0,0,14,5,3,3,3,0,0,0,21,47,91,61,42,58,15,7,318,46,46,36,21,15,4,0,165,0,0,0,0,0,0,0,3,90,139,98,64,75,21,8,492
204021064,4,5,7,0,11,0,0,28,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,9,12,4,8,14,0,0,56,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,11,11,4,8,14,0,0,57,9,5,3,7,6,0,0,28,0,0,0,0,0,0,0,0,21,19,8,15,21,3,0,86
204021065,3,8,9,4,16,0,0,37,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,27,13,27,0,0,91,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,3,0,0,0,9,8,16,26,18,28,0,0,90,19,22,9,10,6,0,0,65,0,0,0,0,0,0,0,0,28,38,38,27,31,0,0,159
204021066,49,83,79,51,54,12,4,336,10,12,9,4,6,0,0,37,3,3,6,0,0,0,0,17,91,169,142,96,128,32,10,676,4,9,11,7,0,0,0,27,7,9,0,6,3,0,0,25,7,16,18,13,7,0,0,52,96,183,157,110,134,32,10,734,96,88,55,33,40,7,0,314,0,0,0,0,0,0,0,3,190,274,212,144,175,39,13,1049
204021067,16,23,20,15,9,0,0,88,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,10,28,38,47,38,25,11,0,188,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,28,38,52,38,25,11,0,191,13,17,11,0,11,0,0,51,0,0,0,0,0,0,0,0,38,54,56,39,39,13,0,240
204031068,4,16,16,14,11,0,0,62,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,10,42,26,24,28,5,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,15,41,26,24,28,5,0,142,11,7,0,0,0,0,0,20,0,0,0,0,0,0,0,0,24,50,31,28,31,4,0,161
204031069,8,25,20,15,21,0,0,85,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,9,11,37,32,28,38,9,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,43,32,28,38,9,0,159,11,7,11,9,8,3,0,45,0,0,0,0,0,0,0,0,23,41,40,43,43,9,0,206
204031070,3,6,3,3,3,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,6,6,5,10,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,9,5,10,0,3,43,8,8,3,9,5,0,0,26,0,0,0,0,0,0,0,0,10,10,18,10,14,0,4,69
204031071,7,10,18,18,11,0,0,69,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,24,25,25,26,0,0,115,0,0,0,4,0,0,0,8,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,9,9,26,34,31,26,0,0,127,10,17,4,8,10,3,0,52,0,0,0,0,0,0,0,0,23,41,37,38,29,9,0,175
204031072,8,13,12,8,11,4,0,53,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,10,15,26,23,21,25,3,0,109,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,26,25,21,29,3,0,111,8,13,4,12,0,0,0,39,0,0,0,0,0,0,0,0,25,42,35,26,26,7,0,157
204031073,46,88,47,36,46,11,3,278,4,9,4,0,6,3,0,20,0,3,4,6,0,0,0,17,73,172,101,77,109,28,8,577,4,4,4,3,4,0,0,23,4,9,3,3,0,0,0,21,10,15,3,8,11,3,0,45,86,187,111,76,113,30,8,617,78,110,58,36,44,8,0,347,0,5,3,4,0,0,0,9,159,299,172,123,159,48,16,971
204031075,8,13,9,3,7,0,0,35,4,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,10,26,12,17,19,4,4,96,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,11,25,13,17,19,4,4,100,14,7,3,0,4,0,0,27,0,0,0,0,0,0,0,4,22,35,14,20,25,4,4,130
204031491,32,51,38,30,28,3,3,186,4,0,0,0,4,0,0,12,3,0,0,0,0,0,0,4,56,119,77,46,58,19,11,381,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,10,52,124,78,53,58,17,13,388,43,50,21,11,14,4,0,144,0,0,0,0,0,0,0,0,97,167,102,61,76,24,9,540
204031492,48,88,66,31,47,7,3,286,9,10,8,5,4,0,0,25,3,0,5,0,0,0,0,14,69,146,126,71,99,27,4,547,3,6,0,0,4,0,0,18,10,7,9,0,0,5,0,35,15,21,6,0,3,5,0,50,87,170,129,75,100,27,4,597,115,110,75,44,57,8,4,415,0,0,0,6,5,0,0,8,197,280,205,126,158,40,11,1014
205011076,49,81,60,53,51,14,5,319,7,12,4,7,6,0,0,32,8,12,6,0,3,4,0,27,82,160,110,91,99,28,9,578,0,8,8,0,6,0,0,21,3,11,3,6,4,0,0,32,4,20,9,6,14,0,4,55,89,178,118,98,110,34,7,634,99,78,52,39,26,11,4,306,3,0,5,6,3,0,0,18,185,265,170,137,137,42,13,957
205011077,5,17,6,9,16,0,0,55,4,5,7,3,0,0,0,21,0,0,0,0,3,0,0,0,16,35,24,30,33,4,0,134,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,8,4,3,0,0,5,0,0,12,21,41,24,30,33,4,0,145,12,11,13,10,7,0,0,63,0,5,3,0,0,0,0,4,32,57,34,42,43,4,0,214
